Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
MORELOS 3,40946,2015-056A,"October 2, 2015",1436.1,113° W,TRACK IT,-113,MORELOS 3,Mexico,113° W,-0.122,0.301,TRUE
SATMEX 6,29162,2006-020A,"May 27, 2006",1436.1,113° W,TRACK IT,-113,SATMEX 6,Europe,113° W,-0.122,0.301,TRUE
XM-2,26724,2001-012A,"March 18, 2001",1453.4,112.7° W,TRACK IT,-112.7,XM-2,United States,112.7° W,-0.127,0.301,TRUE
USA 134,25019,1997-065A,"October 25, 1997",1436.1,112.2° W,TRACK IT,-112.2,USA 134,United States,112.2° W,-0.136,0.301,TRUE
NSTAR B,23781,1996-007A,"February 5, 1996",1450.8,111.7° W,TRACK IT,-111.7,NSTAR B,Japan,111.7° W,-0.144,0.300,TRUE
ANIK E1,21726,1991-067A,"September 26, 1991",1452,111.5° W,TRACK IT,-111.5,ANIK E1,Canada,111.5° W,-0.148,0.300,TRUE
WILDBLUE 1,29643,2006-054A,"December 8, 2006",1436.1,111.1° W,TRACK IT,-111.1,WILDBLUE 1,United States,111.1° W,-0.155,0.299,TRUE
ANIK F2,28378,2004-027A,"July 18, 2004",1436.1,111.1° W,TRACK IT,-111.1,ANIK F2,Canada,111.1° W,-0.155,0.299,TRUE
TERRESTAR 1,35496,2009-035A,"July 1, 2009",1436.1,111° W,TRACK IT,-111,TERRESTAR 1,United States,111° W,-0.156,0.299,TRUE
ECHOSTAR 10,28935,2006-003A,"February 15, 2006",1436.1,110.2° W,TRACK IT,-110.2,ECHOSTAR 10,United States,110.2° W,-0.170,0.299,TRUE
DIRECTV 5 (TEMPO 1),27426,2002-023A,"May 7, 2002",1436.1,110.1° W,TRACK IT,-110.1,DIRECTV 5 (TEMPO 1),United States,110.1° W,-0.172,0.298,TRUE
ECHOSTAR 11,33207,2008-035A,"July 16, 2008",1436.1,110° W,TRACK IT,-110,ECHOSTAR 11,United States,110° W,-0.174,0.298,TRUE
FENGYUN 2A,24834,1997-029A,"June 10, 1997",1499.2,109.4° W,TRACK IT,-109.4,FENGYUN 2A,China,109.4° W,-0.184,0.298,TRUE
TELSTAR 12 (ORION 2),25949,1999-059A,"October 19, 1999",1436.1,109.2° W,TRACK IT,-109.2,TELSTAR 12 (ORION 2),United States,109.2° W,-0.187,0.298,TRUE
EUTELSAT 1-F4 (ECS 4),18351,1987-078B,"September 16, 1987",1459.2,108.7° W,TRACK IT,-108.7,EUTELSAT 1-F4 (ECS 4),Europe,108.7° W,-0.196,0.298,TRUE
EUTELSAT W2,25491,1998-056A,"October 5, 1998",1450.7,108.7° W,TRACK IT,-108.7,EUTELSAT W2,Europe,108.7° W,-0.196,0.298,TRUE
LES 8,8746,1976-023A,"March 15, 1976",1436.1,107.8° W,TRACK IT,-107.8,LES 8,United States,107.8° W,-0.211,0.298,TRUE
MSAT M1,23846,1996-022A,"April 20, 1996",1436.1,107.7° W,TRACK IT,-107.7,MSAT M1,Canada,107.7° W,-0.213,0.298,TRUE
SATCOM 3,11635,1979-101A,"December 7, 1979",788.9,107.4° W,TRACK IT,-107.4,SATCOM 3,United States,107.4° W,-0.218,0.297,TRUE
ANIK F1,26624,2000-076A,"November 21, 2000",1436.1,107.3° W,TRACK IT,-107.3,ANIK F1,Canada,107.3° W,-0.220,0.297,TRUE
ANIK G1,39127,2013-014A,"April 15, 2013",1436.1,107.3° W,TRACK IT,-107.3,ANIK G1,Canada,107.3° W,-0.220,0.296,TRUE
ANIK F1-R,28868,2005-036A,"September 8, 2005",1436.1,107.3° W,TRACK IT,-107.3,ANIK F1-R,Canada,107.3° W,-0.220,0.295,TRUE
ECHOSTAR 17,38551,2012-035A,"July 5, 2012",1436,107.1° W,TRACK IT,-107.1,ECHOSTAR 17,United States,107.1° W,-0.223,0.295,TRUE
AMSC 1,23553,1995-019A,"April 7, 1995",1436.1,106.9° W,TRACK IT,-106.9,AMSC 1,United States,106.9° W,-0.227,0.295,TRUE
ACTS,22796,1993-058B,"September 12, 1993",1436.1,106.4° W,TRACK IT,-106.4,ACTS,United States,106.4° W,-0.235,0.294,TRUE
GSTAR 1,15677,1985-035A,"May 8, 1985",1436.1,106.2° W,TRACK IT,-106.2,GSTAR 1,United States,106.2° W,-0.239,0.294,TRUE
TELSTAR 11 (ORION 1),23413,1994-079A,"November 29, 1994",1460.7,105.6° W,TRACK IT,-105.6,TELSTAR 11 (ORION 1),United States,105.6° W,-0.249,0.293,TRUE
OPS 7484,11397,1979-053A,"June 10, 1979",1458.4,105.5° W,TRACK IT,-105.5,OPS 7484,United States,105.5° W,-0.250,0.293,TRUE
GSTAR 3,19483,1988-081A,"September 8, 1988",1436.1,105.2° W,TRACK IT,-105.2,GSTAR 3,United States,105.2° W,-0.255,0.292,TRUE
