Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
INTELSAT 7 (PAS 7),25473,1998-052A,"September 16, 1998",1466.2,110.2° W,TRACK IT,-110.2,INTELSAT 7 (PAS 7),United States,110.2° W,-0.170209,0.304508,TRUE
DIRECTV 5 (TEMPO 1),27426,2002-023A,"May 7, 2002",1436.1,110.1° W,TRACK IT,-110.1,DIRECTV 5 (TEMPO 1),United States,110.1° W,-0.171929,0.304416,TRUE
ECHOSTAR 11,33207,2008-035A,"July 16, 2008",1436.1,110° W,TRACK IT,-110,ECHOSTAR 11,United States,110° W,-0.173648,0.304322,TRUE
CHINASAT 7,24282,1996-048A,"August 18, 1996",1350.1,109.8° W,TRACK IT,-109.8,CHINASAT 7,China,109.8° W,-0.177085,0.304133,TRUE
TELSTAR 12 (ORION 2),25949,1999-059A,"October 19, 1999",1436.1,109.2° W,TRACK IT,-109.2,TELSTAR 12 (ORION 2),United States,109.2° W,-0.187381,0.303543,TRUE
JCSAT 3,23649,1995-043A,"August 29, 1995",1452.4,108.4° W,TRACK IT,-108.4,JCSAT 3,Japan,108.4° W,-0.201078,0.302705,TRUE
LES 8,8746,1976-023A,"March 15, 1976",1436.1,108° W,TRACK IT,-108,LES 8,United States,108° W,-0.207912,0.302264,TRUE
MSAT M1,23846,1996-022A,"April 20, 1996",1436.1,107.7° W,TRACK IT,-107.7,MSAT M1,Canada,107.7° W,-0.213030,0.301924,TRUE
ANIK F1,26624,2000-076A,"November 21, 2000",1436.1,107.3° W,TRACK IT,-107.3,ANIK F1,Canada,107.3° W,-0.219846,0.301457,TRUE
ANIK G1,39127,2013-014A,"April 15, 2013",1436.1,107.3° W,TRACK IT,-107.3,ANIK G1,Canada,107.3° W,-0.219846,0.301457,TRUE
ANIK F1-R,28868,2005-036A,"September 8, 2005",1436,107.3° W,TRACK IT,-107.3,ANIK F1-R,Canada,107.3° W,-0.219846,0.301457,TRUE
ECHOSTAR 17,38551,2012-035A,"July 5, 2012",1436.2,107.1° W,TRACK IT,-107.1,ECHOSTAR 17,United States,107.1° W,-0.223250,0.301218,TRUE
AMSC 1,23553,1995-019A,"April 7, 1995",1436.1,106.9° W,TRACK IT,-106.9,AMSC 1,United States,106.9° W,-0.226651,0.300975,TRUE
ACTS,22796,1993-058B,"September 12, 1993",1436.1,106.3° W,TRACK IT,-106.3,ACTS,United States,106.3° W,-0.236838,0.300225,TRUE
